1,2,5
2,1,5
1,3,7
3,1,7
1,4,3
2,5,6
3,6,4
4,7,8
5,8,5
6,9,2
7,10,6
8,11,3
9,12,4
10,13,7
11,14,5
12,15,6
13,16,4
14,17,8
15,18,3
16,19,6
17,20,5
18,21,7
19,22,4
20,23,5
21,24,6
22,25,7
23,26,3
24,27,8
25,28,4
26,29,5
27,30,6
28,31,7
29,32,3
30,33,6
31,34,5
32,35,8
33,36,4
34,37,5
35,38,6
36,39,7
37,40,3
38,1,6
39,2,5
40,3,4
4,5,7
5,6,3
6,7,5
7,8,6
8,9,4
9,10,7
10,11,5
11,12,6
12,13,4
13,14,5
14,15,6
15,16,7
16,17,3
17,18,5
18,19,6
19,20,4
20,21,7
21,22,5
22,23,6
23,24,4
24,25,5
25,26,6
26,27,7
27,28,3
28,29,5
29,30,6
30,31,4
31,32,7
32,33,5
33,34,6
34,35,4
35,36,5
36,37,6
37,38,7
38,39,3
39,40,5
40,1,6
